x y lat lon sand clay color fractional coverage of grid by vegetation class (columns: 18 IGBP classes, sum to 1.0 per cell) -- ParFlow-CLM v3.15 (2026)
CLASSIC 2-LINE HEADER: drv_readvegtf skips exactly two lines; do NOT add banner comments here (they get read as data and crash CLM init)
10 6 38.714183 -106.976042 0.38 0.26 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
11 6 38.715331 -106.964281 0.38 0.25 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
12 6 38.716479 -106.952520 0.37 0.27 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
13 6 38.717625 -106.940758 0.40 0.23 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
14 6 38.718769 -106.928996 0.40 0.22 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
15 6 38.719912 -106.917233 0.38 0.26 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 6 38.721054 -106.905470 0.37 0.27 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 6 38.722195 -106.893706 0.37 0.29 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 6 38.723334 -106.881942 0.39 0.25 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
19 6 38.724472 -106.870178 0.33 0.26 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
20 6 38.725608 -106.858413 0.42 0.22 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
21 6 38.726743 -106.846648 0.61 0.15 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
22 6 38.727877 -106.834882 0.46 0.19 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
23 6 38.729010 -106.823116 0.41 0.22 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
24 6 38.730141 -106.811350 0.60 0.18 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
25 6 38.731270 -106.799583 0.65 0.14 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 6 38.732399 -106.787815 0.18 0.30 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
27 6 38.733526 -106.776048 0.53 0.15 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28 6 38.734652 -106.764279 0.69 0.08 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29 6 38.735776 -106.752511 0.69 0.08 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30 6 38.736899 -106.740742 0.69 0.08 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
31 6 38.738021 -106.728972 0.68 0.09 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
32 6 38.739141 -106.717202 0.68 0.08 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7 38.712960 -107.083359 0.42 0.19 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
