date,LE_W/m2,H_W/m2,Rn_W/m2,TA_degC,G_W/m2,et_mm_day_published
2017-12-09,5.258416655,29.39987066,13.11237388,-6.475704223,-15.93365772,0.181658216
2017-12-10,6.036996674,26.69009232,16.1170426,-7.365591169,-18.73866804,0.208555183
2017-12-11,7.667118263,29.03952779,18.81758416,-4.797125406,-16.85097571,0.264869659
2017-12-12,5.469969446,29.3930823,23.9884213,-4.000585645,-14.18770384,0.188966557
2017-12-13,6.68882902,10.74825558,11.03647929,-3.264003105,-11.8085418,0.231073502
2017-12-14,12.79774611,36.65948359,27.85687027,,-5.782397104,0.423691874
2017-12-15,3.679655068,30.57422641,20.60445553,-8.261369991,-16.35257186,0.127118032
2017-12-16,4.155676922,6.805729331,-1.824350917,-5.113190242,-11.45895953,0.143562769
2017-12-17,5.866285127,24.27970803,13.77258099,-6.456639981,-13.45256096,0.202657751
2017-12-18,4.416871476,34.19415106,24.92445908,-7.03012723,-15.62704327,0.152586044
2017-12-19,3.701239669,30.84284417,24.98274375,-5.328310289,-13.24174601,0.127863697
2017-12-20,7.345336496,8.805871399,17.58876677,-3.153791336,-10.10466699,0.253753328
2017-12-21,8.801300198,13.71142891,25.59348055,,-3.952008177,0.228038486
2017-12-22,8.429879296,-5.656342686,76.73353452,,-5.118699948,0.109207553
2017-12-23,19.09460895,-14.29252979,2.654980354,,-3.985443333,0.522219613
2017-12-24,5.594921008,-14.16134792,-4.83135749,,-4.214595865,0.144962368
2017-12-25,12.49598271,2.082572679,5.474080177,,-3.217912781,0.269805304
2017-12-26,1.974662017,11.76142826,-11.24344317,-4.083249444,-2.252078667,0.068217032
2017-12-27,4.922848188,7.913566356,9.796464031,,-2.666051917,0.16297954
2017-12-28,7.151374924,2.810235171,3.827498365,-5.116099311,-2.708155333,0.247052696
2017-12-29,9.257696183,-2.361978023,18.9891494,-3.890205773,-5.562853177,0.186560531
2017-12-30,,11.64193977,-59.10510563,5.104177597,-2.8368065,
2017-12-31,,8.015977053,60.94236085,0.591065382,-1.843757885,
